gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group A,master's degree,standard,none,67,70,66
male,group A,some college,free/reduced,none,82,93,89
male,group C,high school,standard,none,41,47,50
male,group D,high school,free/reduced,none,89,82,86
male,group E,some college,standard,completed,64,59,61
male,group D,associate's degree,standard,completed,60,72,74
male,group B,high school,standard,none,51,49,63
female,group E,some high school,free/reduced,none,41,39,48
male,group D,master's degree,standard,none,78,71,72
male,group C,master's degree,standard,none,67,73,81
male,group B,some college,free/reduced,none,47,69,61
female,group B,high school,standard,completed,47,38,41
male,group B,associate's degree,standard,none,61,63,78
female,group E,high school,standard,none,91,100,98
male,group A,master's degree,standard,none,62,63,57
male,group E,bachelor's degree,free/reduced,none,43,50,45
female,group D,some high school,free/reduced,none,62,54,45
male,group A,some college,standard,completed,62,68,62
female,group D,bachelor's degree,free/reduced,none,26,26,23
female,group A,associate's degree,standard,completed,65,77,66
male,group E,bachelor's degree,standard,none,63,76,77
male,group B,bachelor's degree,standard,none,76,100,100
male,group C,associate's degree,standard,none,94,100,93
male,group B,bachelor's degree,standard,none,83,88,100
female,group E,some college,free/reduced,none,62,66,70
female,group A,master's degree,free/reduced,none,49,48,56
male,group B,high school,standard,completed,100,100,95
female,group E,bachelor's degree,standard,completed,67,66,73
female,group D,some college,free/reduced,none,66,70,61
male,group C,high school,free/reduced,none,66,81,88
female,group B,high school,free/reduced,none,69,61,62
female,group A,bachelor's degree,standard,none,64,77,82
male,group D,some college,free/reduced,none,57,73,63
female,group E,master's degree,standard,completed,58,59,51
male,group C,bachelor's degree,standard,none,66,46,51
female,group A,associate's degree,standard,none,58,54,46
male,group E,high school,standard,none,55,70,74
female,group E,bachelor's degree,standard,none,68,69,58
female,group B,high school,standard,none,62,54,61
male,group B,some college,standard,none,89,86,76
male,group A,some high school,free/reduced,none,26,37,41
male,group E,bachelor's degree,standard,none,82,90,95
male,group B,master's degree,standard,none,85,84,79
female,group C,bachelor's degree,standard,completed,35,33,38
female,group C,high school,free/reduced,none,61,59,61
female,group E,some college,standard,none,60,53,49
male,group B,associate's degree,standard,completed,45,63,55
female,group A,master's degree,standard,none,54,53,37
female,group A,some college,free/reduced,none,49,64,66
male,group A,bachelor's degree,free/reduced,none,92,100,87
male,group C,associate's degree,standard,none,80,92,93
female,group B,some college,standard,none,85,83,81
male,group B,some high school,free/reduced,completed,77,83,88
female,group C,master's degree,standard,completed,49,51,48
female,group A,high school,standard,none,58,51,48
male,group A,some college,standard,none,73,79,84
female,group E,some college,standard,none,48,38,41
male,group D,some high school,standard,none,77,91,93
male,group B,bachelor's degree,standard,none,62,60,64
female,group B,master's degree,standard,none,60,64,52
female,group B,master's degree,free/reduced,completed,77,81,88
female,group D,high school,standard,none,73,72,77
male,group E,some college,free/reduced,none,61,68,60
female,group D,associate's degree,standard,none,83,81,79
male,group A,some college,standard,completed,50,60,60
male,group A,high school,standard,completed,75,64,63
female,group B,some college,free/reduced,none,75,78,81
male,group C,some high school,free/reduced,none,61,83,94
female,group B,some college,standard,completed,71,63,72
female,group C,some college,free/reduced,none,47,42,32
female,group D,associate's degree,standard,completed,80,87,92
female,group A,some high school,free/reduced,none,63,67,78
female,group C,some high school,free/reduced,none,58,64,67
female,group D,some college,free/reduced,none,82,89,97
female,group A,master's degree,standard,completed,55,64,80
male,group C,associate's degree,standard,none,45,58,66
female,group B,some college,standard,completed,43,49,51
male,group B,some college,standard,none,75,75,83
male,group B,high school,standard,none,47,56,57
male,group D,high school,standard,none,92,100,100
female,group B,master's degree,standard,none,35,35,33
male,group E,associate's degree,standard,none,91,84,96
male,group A,bachelor's degree,standard,none,69,82,76
female,group D,high school,standard,completed,65,65,78
female,group B,bachelor's degree,free/reduced,none,58,38,42
male,group A,some high school,standard,completed,72,82,71
female,group C,high school,standard,none,65,62,65
female,group B,high school,free/reduced,completed,83,84,67
female,group A,associate's degree,standard,none,68,73,78
female,group E,master's degree,standard,none,68,72,79
male,group C,bachelor's degree,standard,none,61,70,65
female,group E,high school,standard,none,65,63,64
female,group A,high school,free/reduced,completed,71,78,93
female,group E,associate's degree,standard,none,40,40,36
male,group A,associate's degree,standard,none,46,55,47
male,group A,master's degree,standard,completed,77,85,97
female,group E,bachelor's degree,standard,none,69,61,77
female,group A,some high school,free/reduced,completed,63,76,76
male,group B,master's degree,standard,none,66,63,71
female,group A,some high school,standard,completed,71,81,92
female,group D,some college,standard,none,58,64,58
male,group A,high school,standard,none,54,75,71
female,group D,bachelor's degree,standard,none,69,69,79
female,group A,master's degree,free/reduced,completed,51,50,63
male,group A,high school,free/reduced,none,72,74,78
male,group E,bachelor's degree,free/reduced,none,40,39,32
female,group B,bachelor's degree,free/reduced,none,81,91,100
male,group B,bachelor's degree,standard,completed,73,59,55
female,group C,high school,standard,completed,70,61,59
female,group E,master's degree,free/reduced,completed,81,72,75
female,group E,associate's degree,free/reduced,none,91,100,100
male,group B,high school,free/reduced,none,81,100,100
male,group E,bachelor's degree,standard,none,38,39,43
female,group B,master's degree,standard,completed,47,47,51
female,group E,some college,free/reduced,none,57,59,60
male,group A,some high school,free/reduced,none,66,80,84
male,group B,bachelor's degree,free/reduced,completed,74,66,46
male,group B,some college,standard,none,55,59,57
female,group D,associate's degree,standard,none,69,81,82
male,group E,bachelor's degree,standard,none,55,62,52
male,group E,some college,free/reduced,none,57,61,64
female,group B,bachelor's degree,standard,completed,45,57,55
female,group A,high school,standard,none,52,27,41
female,group A,master's degree,free/reduced,none,46,55,67
male,group A,some college,standard,none,51,47,43
female,group E,master's degree,free/reduced,none,82,65,64
female,group D,high school,standard,none,52,59,58
female,group B,high school,free/reduced,none,100,100,96
female,group C,master's degree,standard,none,73,74,76
male,group D,some college,free/reduced,none,69,80,74
female,group C,master's degree,free/reduced,none,53,71,62
male,group D,master's degree,standard,none,77,92,97
male,group A,some high school,standard,completed,57,76,81
male,group E,some college,standard,completed,68,77,71
female,group C,some high school,standard,completed,100,100,100
male,group D,bachelor's degree,free/reduced,none,65,51,45
female,group E,master's degree,standard,none,83,83,85
female,group C,bachelor's degree,standard,none,55,49,56
female,group B,some college,standard,none,65,89,89
male,group D,master's degree,free/reduced,none,93,93,96
female,group B,bachelor's degree,free/reduced,none,57,60,56
female,group A,associate's degree,standard,completed,93,100,98
female,group B,high school,standard,none,77,79,77
male,group B,master's degree,standard,none,58,77,71
male,group D,high school,standard,completed,75,71,70
male,group A,some high school,standard,none,81,85,72
female,group B,bachelor's degree,standard,completed,75,70,66
male,group E,some high school,standard,completed,42,31,29
female,group C,master's degree,standard,completed,55,51,49
female,group B,high school,standard,none,62,64,62
male,group A,high school,standard,completed,65,63,62
female,group B,bachelor's degree,standard,none,75,70,74
male,group C,master's degree,free/reduced,none,69,57,64
female,group A,associate's degree,free/reduced,none,46,47,42
male,group D,associate's degree,standard,none,72,59,49
female,group A,bachelor's degree,standard,none,75,85,76
female,group D,master's degree,free/reduced,none,74,77,73
female,group A,bachelor's degree,free/reduced,completed,82,70,67
female,group C,master's degree,standard,completed,79,77,71
female,group C,some high school,standard,completed,73,67,57
male,group A,bachelor's degree,standard,none,65,70,66
female,group B,master's degree,standard,completed,41,56,58
male,group C,associate's degree,standard,none,72,56,60
male,group D,master's degree,standard,completed,69,72,68
male,group D,master's degree,standard,completed,70,70,67
female,group E,bachelor's degree,standard,none,47,56,48
female,group D,some high school,standard,completed,50,54,54
female,group E,some high school,standard,none,82,76,69
male,group A,some high school,standard,none,65,64,69
female,group A,some high school,standard,none,76,70,56
female,group A,some college,standard,none,66,79,76
male,group B,bachelor's degree,free/reduced,completed,66,69,71
male,group B,high school,standard,none,80,100,100
male,group E,bachelor's degree,free/reduced,none,58,60,81
male,group D,some college,free/reduced,none,67,62,65
male,group D,some high school,standard,completed,59,46,38
male,group A,some college,standard,completed,59,43,43
female,group C,associate's degree,standard,completed,61,48,33
male,group B,associate's degree,free/reduced,completed,69,74,73
female,group B,bachelor's degree,free/reduced,none,59,66,59
female,group A,bachelor's degree,free/reduced,none,85,71,78
female,group B,high school,standard,none,53,64,59
male,group A,high school,standard,none,63,60,59
female,group E,associate's degree,standard,completed,59,63,58
male,group D,some high school,standard,none,88,100,100
male,group C,some college,standard,completed,69,80,77
female,group D,high school,standard,none,81,81,95
male,group D,master's degree,free/reduced,none,44,37,43
female,group E,high school,standard,none,70,50,54
female,group B,some high school,standard,completed,79,74,77
male,group C,some high school,standard,completed,67,67,70
female,group B,bachelor's degree,free/reduced,completed,82,74,59
female,group D,some college,free/reduced,none,58,59,57
female,group A,some high school,standard,completed,87,90,97
male,group D,high school,standard,none,100,100,99
female,group B,high school,standard,none,61,56,45
male,group D,associate's degree,free/reduced,completed,59,63,63
male,group A,some high school,standard,none,88,94,100
female,group E,master's degree,standard,completed,90,81,91
female,group B,bachelor's degree,standard,none,58,74,74
male,group D,some college,standard,none,60,61,68
male,group B,master's degree,free/reduced,completed,62,64,61
female,group E,bachelor's degree,standard,none,46,55,41
female,group D,high school,standard,completed,52,57,49
male,group D,master's degree,standard,none,51,62,75
male,group B,bachelor's degree,standard,none,54,59,57
male,group B,high school,free/reduced,none,65,61,59
male,group A,high school,standard,none,70,75,73
male,group E,high school,free/reduced,none,89,80,95
female,group A,high school,free/reduced,none,51,54,67
male,group D,high school,standard,completed,81,82,100
male,group B,associate's degree,standard,none,63,63,61
female,group D,master's degree,standard,none,65,66,68
female,group D,bachelor's degree,free/reduced,none,76,59,47
male,group C,associate's degree,standard,none,49,46,57
male,group C,associate's degree,standard,completed,72,75,65
female,group D,some high school,standard,completed,68,72,74
male,group B,some high school,free/reduced,none,73,65,56
male,group D,some high school,standard,completed,70,85,80
female,group C,some college,standard,none,100,93,87
male,group B,some high school,standard,none,56,68,63
female,group D,bachelor's degree,standard,completed,58,64,60
female,group E,associate's degree,free/reduced,none,57,52,48
female,group E,bachelor's degree,standard,completed,58,77,84
female,group D,master's degree,free/reduced,completed,56,47,38
male,group B,some high school,standard,none,84,95,97
female,group D,some college,standard,completed,87,99,100
male,group D,master's degree,standard,completed,57,53,49
male,group C,some college,standard,none,54,69,64
male,group E,master's degree,standard,none,73,73,71
male,group C,associate's degree,standard,none,58,63,72
male,group C,bachelor's degree,standard,completed,75,80,82
female,group D,high school,standard,completed,69,70,65
female,group C,bachelor's degree,standard,none,43,53,57
female,group E,some high school,free/reduced,none,89,99,90
female,group C,high school,standard,none,93,77,83
male,group E,some college,standard,none,57,72,75
female,group C,associate's degree,standard,none,60,46,43
male,group E,associate's degree,free/reduced,none,70,83,76
male,group C,some college,free/reduced,none,71,84,77
female,group C,some high school,standard,none,76,67,71
female,group B,some college,free/reduced,none,96,94,100
female,group E,master's degree,standard,none,63,54,49
female,group E,some high school,standard,completed,54,54,58
male,group E,high school,free/reduced,none,45,44,28
male,group A,some college,free/reduced,none,55,65,60
female,group C,some high school,standard,none,66,81,80
male,group E,high school,free/reduced,none,93,100,93
male,group A,some college,standard,none,58,55,47
male,group B,associate's degree,free/reduced,none,69,69,64
female,group E,some college,standard,none,66,51,53
male,group E,bachelor's degree,standard,completed,84,78,76
female,group A,some college,standard,completed,100,100,82
female,group C,bachelor's degree,standard,completed,58,76,59
male,group B,high school,standard,completed,59,48,43
male,group E,some college,standard,completed,82,78,81
female,group C,high school,standard,none,76,78,56
male,group B,high school,standard,none,94,99,95
male,group D,some high school,standard,none,75,69,64
female,group D,high school,standard,none,61,67,78
female,group B,high school,standard,completed,75,72,69
female,group A,some college,free/reduced,none,83,84,88
female,group B,some college,free/reduced,none,78,86,87
male,group B,associate's degree,free/reduced,none,74,76,59
male,group A,some high school,standard,none,82,80,86
female,group A,high school,free/reduced,completed,84,84,86
female,group C,some high school,standard,completed,87,88,92
female,group C,bachelor's degree,standard,none,76,74,100
male,group A,high school,standard,completed,63,63,46
female,group D,some high school,free/reduced,none,68,86,100
male,group D,associate's degree,standard,completed,84,92,89
female,group B,associate's degree,standard,none,54,53,55
female,group E,high school,standard,none,72,80,80
female,group B,bachelor's degree,free/reduced,none,60,59,55
male,group B,associate's degree,standard,completed,66,80,76
male,group E,associate's degree,standard,completed,85,91,94
male,group A,bachelor's degree,standard,none,69,70,58
female,group D,some high school,standard,none,67,73,79
male,group B,associate's degree,standard,completed,46,32,29
male,group E,some college,standard,none,77,68,59
female,group C,master's degree,free/reduced,none,76,66,62
female,group B,master's degree,standard,none,98,100,100
male,group D,associate's degree,standard,none,61,81,76
male,group A,some high school,standard,completed,69,94,96
male,group B,some high school,standard,completed,70,78,72
male,group B,high school,standard,none,90,97,100
female,group E,some college,standard,none,65,49,54
female,group C,some high school,standard,completed,70,67,82
female,group C,bachelor's degree,free/reduced,none,75,69,68
male,group A,some college,standard,completed,69,65,70
male,group D,master's degree,standard,none,59,60,60
female,group A,some college,free/reduced,none,69,66,77
female,group B,bachelor's degree,standard,completed,82,64,59
male,group B,associate's degree,free/reduced,completed,51,60,66
male,group C,bachelor's degree,standard,none,68,59,58
female,group D,bachelor's degree,standard,completed,55,60,59
female,group E,associate's degree,free/reduced,none,84,100,100
female,group D,associate's degree,standard,none,43,36,38
male,group B,associate's degree,standard,completed,58,34,33
male,group E,associate's degree,free/reduced,completed,72,71,73
male,group D,associate's degree,standard,none,89,100,100
male,group D,bachelor's degree,standard,none,65,87,94
male,group E,high school,standard,none,58,47,54
male,group B,high school,free/reduced,none,94,100,96
female,group D,some high school,free/reduced,none,44,42,35
female,group E,high school,standard,completed,33,34,42
male,group B,master's degree,standard,none,73,100,100
female,group E,high school,free/reduced,completed,58,45,57
male,group E,bachelor's degree,standard,none,51,55,50
female,group D,associate's degree,standard,none,77,83,81
male,group B,associate's degree,free/reduced,none,70,83,69
female,group D,bachelor's degree,free/reduced,none,58,61,57
female,group A,master's degree,free/reduced,none,47,52,60
male,group A,high school,standard,completed,79,77,73
male,group B,bachelor's degree,standard,none,76,80,86
female,group E,some high school,standard,completed,65,63,62
female,group D,associate's degree,standard,none,94,100,100
male,group D,some college,standard,completed,50,48,39
female,group B,some high school,free/reduced,none,43,49,50
male,group B,master's degree,standard,completed,56,57,33
male,group A,some high school,free/reduced,none,65,79,77
female,group C,bachelor's degree,standard,completed,70,71,58
male,group B,high school,standard,completed,62,47,56
female,group C,associate's degree,standard,none,71,86,92
female,group B,master's degree,standard,none,47,40,44
male,group E,master's degree,standard,none,88,83,95
female,group E,some college,free/reduced,completed,65,61,53
male,group A,some high school,free/reduced,none,83,99,100
male,group A,some college,standard,none,71,52,59
male,group C,high school,standard,none,73,100,98
female,group B,high school,free/reduced,none,75,87,96
male,group D,some college,standard,completed,73,77,68
female,group A,associate's degree,standard,none,76,77,70
male,group D,high school,standard,none,86,91,86
male,group D,some college,free/reduced,completed,69,76,72
male,group B,some high school,standard,none,77,85,77
female,group C,some college,standard,completed,65,72,82
female,group B,some college,free/reduced,none,88,90,88
male,group A,bachelor's degree,standard,none,56,56,59
male,group D,high school,standard,none,93,94,89
female,group B,associate's degree,standard,completed,65,65,51
female,group B,associate's degree,free/reduced,none,45,58,60
female,group B,bachelor's degree,standard,none,68,76,61
male,group A,master's degree,free/reduced,none,56,28,28
female,group C,associate's degree,standard,none,79,87,76
male,group B,some college,standard,completed,56,60,76
female,group A,bachelor's degree,free/reduced,none,59,61,68
male,group D,some high school,standard,completed,38,36,37
male,group E,high school,standard,none,59,72,83
male,group A,high school,standard,completed,30,41,34
female,group E,high school,standard,none,42,37,41
female,group B,some college,standard,none,77,83,85
female,group B,some high school,standard,none,78,70,72
male,group A,bachelor's degree,standard,completed,72,61,71
male,group E,bachelor's degree,free/reduced,none,51,47,53
female,group B,high school,standard,completed,65,76,78
male,group D,some high school,free/reduced,completed,66,77,64
male,group C,some high school,standard,none,49,56,48
male,group C,some high school,standard,none,89,98,97
female,group B,associate's degree,standard,none,79,86,87
male,group E,associate's degree,standard,none,63,58,49
female,group B,high school,standard,completed,66,73,92
female,group E,some high school,free/reduced,completed,69,79,91
female,group D,master's degree,free/reduced,none,35,45,50
female,group E,some high school,free/reduced,none,62,76,77
female,group B,bachelor's degree,standard,none,56,65,63
male,group D,bachelor's degree,free/reduced,none,51,56,49
female,group A,high school,standard,completed,62,74,75
female,group C,master's degree,standard,none,93,95,97
female,group B,some high school,free/reduced,completed,76,69,59
male,group B,master's degree,standard,none,57,58,60
male,group B,high school,standard,none,75,69,68
